dataset,N,N_indexed,method,pattern,frac,seed,query_count,encountered_total_events,predicate_checked_total_events,distance_scored_total_events,frontier_inserted_total_events,expanded_total_events,returned_total_events,encountered_revoked_events,predicate_checked_revoked_events,distance_scored_revoked_events,frontier_inserted_revoked_events,expanded_revoked_events,returned_revoked_events,encountered_revoked_id_count,predicate_checked_revoked_id_count,distance_scored_revoked_id_count,frontier_inserted_revoked_id_count,expanded_revoked_id_count,returned_revoked_id_count,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,operational_leakage
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,3,2000,116924,49955,68663,32870,12539,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,4,2000,116877,52028,73880,35050,13756,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,5,2000,114837,43137,74212,37759,13229,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,6,2000,118264,48973,74348,37612,14648,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,7,2000,118530,48619,70341,30963,12756,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,8,2000,104889,42779,66559,32696,12356,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,9,2000,105530,45594,62310,30340,12257,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,0,2000,114237,48576,73370,34475,13996,20000,8081,5760,6773,4406,2053,0,8081,5760,6773,4406,2053,0,0.0,0.09231293,0.12780276,0.14668477,0.09328755
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,1,2000,108516,47080,65453,30333,11846,20000,7204,5287,5866,3813,1856,0,7204,5287,5866,3813,1856,0,0.0,0.08962156,0.12570468,0.15667736,0.09037702
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,2,2000,119001,50148,78397,37961,14863,20000,8147,5607,7163,4546,1970,0,8147,5607,7163,4546,1970,0,0.0,0.09136829,0.11975448,0.1325439,0.09045701
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,3,2000,120543,50525,78819,42306,17571,20000,8289,6261,7166,4715,2018,0,8289,6261,7166,4715,2018,0,0.0,0.09091716,0.11144991,0.11484833,0.08758255
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,4,2000,115818,46104,70316,35043,14081,20000,8614,6217,7234,4611,2125,0,8614,6217,7234,4611,2125,0,0.0,0.10287843,0.1315812,0.15091258,0.10018646
